Control ID,Name,Category,Status,Evidence Count,Last Reviewed
DE.CM-3,Personnel Activity,Detect,Implemented,0,2024-01-31
DE.CM-4,Malicious Code,Detect,Implemented,1,2024-02-01
DE.CM-6,External Service Activity,Detect,At Risk,0,2024-02-01
DE.CM-7,Monitoring for Malicious Code,Detect,Implemented,0,2023-10-13
DE.CM-9,Computing Hardware,Detect,Implemented,0,2024-02-02
RS.MA-1,Incident Investigation,Respond,Implemented,0,2024-02-03
RS.MA-2,Incident Reporting,Respond,Implemented,0,2024-02-03
RS.MA-3,Information Sharing,Respond,In Progress,0,2024-02-04
RS.MA-4,Incident Resolution,Respond,Implemented,0,2024-02-04
RS.MA-5,Evidence Collection,Respond,In Progress,0,2024-02-05
RS.RP-1,Response Planning,Respond,Implemented,0,2023-10-14
RS.CO-1,Investigation Communication,Respond,Implemented,0,2024-02-06
RS.CO-2,Incident Information,Respond,Implemented,0,2024-02-06
RS.CO-3,Information Sharing,Respond,In Progress,0,2024-02-07
RS.AN-1,Analysis,Respond,In Progress,0,2023-10-15
RS.AN-3,Impact Analysis,Respond,At Risk,0,2024-02-08
RS.AN-4,Forensics,Respond,In Progress,0,2024-02-08
RS.AN-6,Root Cause Analysis,Respond,In Progress,0,2024-02-09
RS.AN-7,Vulnerability Analysis,Respond,At Risk,0,2024-02-09
RS.MI-1,Mitigation,Respond,Implemented,0,2023-10-15
RS.MI-2,Incident Mitigation,Respond,Implemented,0,2024-02-10
RS.MI-3,Vulnerabilities,Respond,In Progress,0,2024-02-10
RC.RP-1,Recovery Planning,Recover,Implemented,0,2023-10-15
RC.CO-1,Recovery Communication,Recover,In Progress,0,2024-02-11
RC.CO-2,Reputation Management,Recover,In Progress,0,2024-02-11
RC.CO-3,Recovery Activities Communication,Recover,Implemented,0,2024-02-12
RC.IM-1,Improvements,Recover,Not Implemented,0,2023-10-16
RC.IM-2,Response and Recovery Update,Recover,In Progress,0,2024-02-12
